datetime,totalValueLockedUSD,totalBorrowBalanceUSD,totalDepositBalanceUSD,borrowerStableRate,borrowerVariableRate,lenderVariableRate,market,dailyDepositUSD,dailyWithdrawUSD,inputTokenPriceUSD,blockNumber
2023-11-03,0,28337703.764198279990720727,0,0,3,0,Aave Ethereum GHO,0,0,1,18490363
2023-11-02,0,28276969.884973564689607421,0,0,3,0,Aave Ethereum GHO,0,0,1,18487257
2023-11-01,0,27575813.405434062008777604,0,0,3,0,Aave Ethereum GHO,0,0,1,18480410
2023-10-31,0,28144756.944439693153305155,0,0,3,0,Aave Ethereum GHO,0,0,1,18473086
2023-10-30,0,28129744.361206036245292011,0,0,3,0,Aave Ethereum GHO,0,0,1,18466350
2023-10-29,0,27023893.413092231507739883,0,0,3,0,Aave Ethereum GHO,0,0,1,18459117
2023-10-28,0,26940903.827237784663940434,0,0,3,0,Aave Ethereum GHO,0,0,1,18451527
2023-10-27,0,26765028.824816981162401849,0,0,3,0,Aave Ethereum GHO,0,0,1,18444946
2023-10-26,0,26534972.068813192808016349,0,0,3,0,Aave Ethereum GHO,0,0,1,18437721
2023-10-25,0,26815697.457621587970138062,0,0,3,0,Aave Ethereum GHO,0,0,1,18430403
2023-10-24,0,26452532.827412453690918189,0,0,3,0,Aave Ethereum GHO,0,0,1,18423542
2023-10-23,0,25593564.930844120823102728,0,0,3,0,Aave Ethereum GHO,0,0,1,18416260
2023-10-22,0,24736468.704948628831594672,0,0,2.5,0,Aave Ethereum GHO,0,0,1,18409154
2023-10-21,0,24541015.525998991122015245,0,0,2.5,0,Aave Ethereum GHO,0,0,1,18401737
2023-10-20,0,24149786.387846079143407079,0,0,2.5,0,Aave Ethereum GHO,0,0,1,18394902
2023-10-19,0,23985586.082092888557738612,0,0,2.5,0,Aave Ethereum GHO,0,0,1,18387788
2023-10-18,0,24991298.84805447240932474,0,0,2.5,0,Aave Ethereum GHO,0,0,1,18380247
2023-10-17,0,25420217.193372512223462486,0,0,2.5,0,Aave Ethereum GHO,0,0,1,18373188
2023-10-16,0,25183322.377672233513366802,0,0,2.5,0,Aave Ethereum GHO,0,0,1,18366175
2023-10-15,0,24902621.988411880649913068,0,0,2.5,0,Aave Ethereum GHO,0,0,1,18359140
2023-10-14,0,25051518.454245586633824568,0,0,2.5,0,Aave Ethereum GHO,0,0,1,18351402
2023-10-13,0,24967515.865715290221873999,0,0,2.5,0,Aave Ethereum GHO,0,0,1,18344834
2023-10-12,0,24885196.800526359537673434,0,0,2.5,0,Aave Ethereum GHO,0,0,1,18337127
2023-10-11,0,24486331.545530070444901042,0,0,2.5,0,Aave Ethereum GHO,0,0,1,18330287
2023-10-10,0,24348842.170238051783808787,0,0,2.5,0,Aave Ethereum GHO,0,0,1,18323221
2023-10-09,0,24313755.290920329857510643,0,0,2.5,0,Aave Ethereum GHO,0,0,1,18316058
2023-10-08,0,24385728.006351084392918534,0,0,2.5,0,Aave Ethereum GHO,0,0,1,18306718
2023-10-07,0,24286426.711062111633731959,0,0,2.5,0,Aave Ethereum GHO,0,0,1,18301815
2023-10-06,0,23981762.415294759785876218,0,0,2.5,0,Aave Ethereum GHO,0,0,1,18294702
2023-10-05,0,24061618.63412938261066803,0,0,2.5,0,Aave Ethereum GHO,0,0,1,18287721
2023-10-04,0,23995256.030336976020725413,0,0,2.5,0,Aave Ethereum GHO,0,0,1,18280324
