datetime,totalValueLockedUSD,totalBorrowBalanceUSD,totalDepositBalanceUSD,utilizationRate,borrowerStableRate,borrowerVariableRate,lenderVariableRate,market,dailyDepositUSD,dailyWithdrawUSD,inputTokenPriceUSD,blockNumber,maximumLTV,totalCollateralBalanceUSD
2023-11-02,349905774.9242791,320454207.0602986,349905774.9242791,0.915830003462064,14.376319616866605,12.876319616866605,10.610917621986957,Aave Ethereum USDC,15527799.844858492,15492470.627212835,0.99997427,18486093,77,416174294.8835047
2023-11-01,349803718.0859656,317755081.6603681,349803718.0859656,0.908381086967974,9.915852452681287,8.415852452681287,6.878897120053218,Aave Ethereum USDC,3481901.2902512983,14016929.58251838,0.99991586,18480554,77,412668937.22125727
2023-10-31,360330806.27672887,323546502.947785,360330806.27672887,0.8979151860229956,4.998747886282147,3.491235203975032,2.8208188091641166,Aave Ethereum USDC,21796564.782204047,6416414.424969119,1.00001048,18473510,77,420190263.56855196
2023-10-30,344908613.9412693,310255486.53581846,344908613.9412693,0.8995295391162613,4.999645724288658,3.497520070020604,2.8309839367312892,Aave Ethereum USDC,8510643.217343925,10613012.118248643,0.999985,18466363,77,402929203.2932707
2023-10-29,346982752.3114456,313870682.981804,346982752.3114456,0.9045714257868336,7.65255603943039,6.152556039430389,5.008050391459103,Aave Ethereum USDC,1698996.9720138365,4358950.953912343,1.00006998,18459254,77,407624263.61273247
2023-10-28,349577258.3172861,315409698.64603275,349577258.3172861,0.9022603477247884,6.273317002733962,4.773317002733962,3.87550369076304,Aave Ethereum USDC,7724292.184719165,4398039.074945909,0.99999137,18452123,77,409622985.254588
2023-10-27,346178124.4853708,312746781.80392635,346178124.4853708,0.9034273389425066,6.982818140851108,5.482818140851108,4.457389840998398,Aave Ethereum USDC,18288503.72173659,13726550.764372721,0.99995047,18444782,77,406164651.6934109
2023-10-26,341590377.0289844,311697885.7765251,341590377.0289844,0.9124902419311336,12.426798394926111,10.926798394926111,8.972433393061829,Aave Ethereum USDC,22754908.091329608,25753471.49302564,0.99999996,18437684,77,404802449.0604222
2023-10-25,344557418.5340957,305184990.04539424,344557418.5340957,0.8857304287447658,4.992019911308275,3.444139379157925,2.745227946023924,Aave Ethereum USDC,24320662.273121048,16471049.560671668,1.0000404,18430661,77,396344142.91609645
2023-10-24,336656520.61495095,307387295.8176964,336656520.61495095,0.913059088403248,12.784814797359951,11.284814797359951,9.272475275691495,Aave Ethereum USDC,29686871.943643205,31086933.62022668,0.99993008,18423538,77,399204280.2827226
2023-10-23,338059301.2372731,307795144.5788185,338059301.2372731,0.9104767815951524,11.247404030254653,9.747404030254655,7.98674122134097,Aave Ethereum USDC,24294594.033298504,29351812.54347117,0.99984995,18416392,77,399733953.9984656
2023-10-22,343113558.2296455,309249354.7337074,343113558.2296455,0.9013032196376431,5.75360365343661,4.25360365343661,3.450227256163905,Aave Ethereum USDC,2309508.865041748,2968780.3418149324,0.99999963,18409194,77,401622538.61520445
2023-10-21,343720900.6669885,301069210.29308945,343720900.6669885,0.8759118508908429,4.986596469329265,3.406175285304853,2.685041245748426,Aave Ethereum USDC,15157114.957396258,7317299.483961417,0.99992513,18402039,77,390998974.40660965
2023-10-20,335920970.0585552,299417436.9588838,335920970.0585552,0.8913329730700995,4.995168034063196,3.466176238442369,2.7804702714038334,Aave Ethereum USDC,12927601.601698477,8933849.579904376,0.99996763,18394943,77,388853814.2323167
2023-10-19,331919386.08493674,297962074.1111154,331919386.08493674,0.8976940986353481,4.998707872216009,3.490955105512063,2.820366204127885,Aave Ethereum USDC,2082296.8770357885,1316504.343974516,1.000055,18387789,77,386963732.61183816
2023-10-18,331174353.10736585,295692764.4286772,331174353.10736585,0.8928613029790214,4.996027706629759,3.472193946408314,2.790133128341251,Aave Ethereum USDC,6788522.65078839,1617169.095485113,0.99997053,18380617,77,384016577.18010026
2023-10-17,325998834.9442321,294220739.06000423,325998834.9442321,0.9025208298990882,6.512308135152116,5.012308135152116,4.071339821026233,Aave Ethereum USDC,7260106.359380944,5492612.124586088,0.99998593,18373253,77,382104855.92208344
2023-10-16,324200988.2233733,293269555.6740568,324200988.2233733,0.904591800540704,7.716654179535895,6.216654179535896,5.060822634763424,Aave Ethereum USDC,3073495.284774028,3289582.0646265205,1.000073,18366348,77,380869552.82345045
2023-10-15,324381472.4068351,293918027.89733094,324381472.4068351,0.9060875940802892,8.6202904417753,7.120290441775301,5.806101536981528,Aave Ethereum USDC,430420.14356133813,3238105.0280514276,1.0000662,18359211,77,381711724.54198825
2023-10-14,327165723.1625121,293843981.490115,327165723.1625121,0.8981502666284961,4.998948821971984,3.492641753803889,2.8230921715815964,Aave Ethereum USDC,9265966.174094345,2335240.089312865,1.0001,18352010,77,381615560.3767727
2023-10-13,320231136.5135029,286998050.2760822,320231136.5135029,0.8962215648383106,4.997881664210162,3.485171649471135,2.8110289586527584,Aave Ethereum USDC,4559767.157121536,3680989.98733685,1.00017558,18344734,77,372724740.61828864
2023-10-12,319297310.1072436,288080842.23648894,319297310.1072436,0.9022338526426364,6.325466679971602,4.825466679971602,3.9182220037264215,Aave Ethereum USDC,7404662.323961493,8608347.249465441,1.00010436,18337680,77,374130963.9434921
2023-10-11,320439524.5690352,290888254.95230705,320439524.5690352,0.9077789493775084,9.660671440498664,8.160671440498666,6.667195179280957,Aave Ethereum USDC,9281384.550352478,10523594.53886678,0.99996999,18330568,77,377776954.4835156
2023-10-10,321624378.1702491,289634619.0300556,321624378.1702491,0.9005368954860129,5.321832496695322,3.8218324966953214,3.097529307164755,Aave Ethereum USDC,6413221.37751946,13642322.5261379,0.99989658,18323449,77,376148855.8831891
2023-10-09,328777336.757884,296575107.77838254,328777336.757884,0.902054596289842,6.198779086005672,4.698779086005672,3.8144602568116905,Aave Ethereum USDC,6278415.147518028,3662719.3009903585,0.999846,18316322,77,385162477.63426304
2023-10-08,326181260.4978044,290455673.7264271,326181260.4978044,0.8904732089242208,4.99468073752488,3.462765162674161,2.775000423766327,Aave Ethereum USDC,11562265.310958061,4328833.062434989,0.99999176,18309119,77,377215160.68367153
2023-10-07,318955774.7987294,286949139.9487857,318955774.7987294,0.8996518095019889,4.999784026191209,3.498488183338462,2.8325513859590488,Aave Ethereum USDC,2103083.3350704443,1188048.1037325156,1.000106,18302009,77,372661220.7127087
2023-10-06,317966073.6197923,285727731.7225268,317966073.6197923,0.8986107494731826,4.999210693356446,3.494474853495119,2.8260563275385375,Aave Ethereum USDC,4829699.019186789,2136691.936974283,0.99996246,18294808,77,371074976.2630218
2023-10-05,315249436.3609526,284312837.35925525,315249436.3609526,0.9018662829066068,6.107478693967863,4.607478693967863,3.7397117688436894,Aave Ethereum USDC,2900926.6100721476,6415623.527788861,1.00000144,18287740,77,369237451.1159159
2023-10-04,318719501.9081383,280910934.4754771,318719501.9081383,0.8813735362715319,4.989647027210784,3.4275291904754854,2.718812755647099,Aave Ethereum USDC,16227551.243243085,2912736.097937092,0.99997235,18280431,77,364819395.42269754
2023-10-03,305354658.7985269,272910066.1302944,305354658.7985269,0.8937478380192672,4.996526360304266,3.47568452212986,2.795745756249197,Aave Ethereum USDC,5843712.275355236,10175655.833423993,0.99989959,18273397,77,354428657.3120706
2023-10-02,309644819.80740064,278033190.93887013,309644819.80740064,0.8979100348321895,4.998804488415923,3.4916314189114575,2.821459106308288,Aave Ethereum USDC,18327102.46976065,10988107.329890592,1.00000684,18266220,77,361082066.1543768
2023-10-01,302320575.41993994,266918412.8567732,302320575.41993994,0.8828986002226572,4.99047293875667,3.43331057129669,2.7279923994205317,Aave Ethereum USDC,503402.8026869992,400103.9035975672,1.0000266,18259108,77,346647289.4243808
2023-09-30,302227485.14871216,272463385.1171987,302227485.14871216,0.9015175604665212,5.886912782502731,4.386912782502731,3.5592355673610014,Aave Ethereum USDC,4385639.282718041,3215068.06960675,1.00014969,18251856,77,353848552.10025805
2023-09-29,301004605.0795755,274448444.20742506,301004605.0795755,0.9117749016991622,12.04755839513935,10.54755839513935,8.655024100636703,Aave Ethereum USDC,3810681.8839727794,8307470.871885341,1.00008539,18244790,77,356426550.91873384
2023-09-28,305471743.3794915,275359783.13491863,305471743.3794915,0.9014247278277244,5.846965931164727,4.346965931164727,3.5265650023148742,Aave Ethereum USDC,2860206.4420354143,4404486.750177836,1.00013941,18237597,77,357610107.96742684
2023-09-27,306948963.0472078,276132899.02072954,306948963.0472078,0.8996052512425695,4.999779471419262,3.4984562999348356,2.832499757391008,Aave Ethereum USDC,691531.5746643052,1895303.4840420936,1.00002953,18230133,77,358614154.5723761
2023-09-26,308102471.3170305,277779543.92937124,308102471.3170305,0.9015816807374528,5.9005926771434964,4.4005926771434964,3.5704247807964222,Aave Ethereum USDC,847272.8061756116,609838.5739257274,1.00004307,18223246,77,360752654.45372885
2023-09-25,307870007.2987638,277501863.30645573,307870007.2987638,0.9013604986768388,5.77367868070084,4.27367868070084,3.466639412492816,Aave Ethereum USDC,10479534.31608136,7551219.221162099,1.00000399,18216230,77,360392030.2681243
2023-09-24,304917146.40672624,274472503.87254035,304917146.40672624,0.900154376711974,5.055713435852658,3.5557134358526574,2.880425034559281,Aave Ethereum USDC,2065590.5339662228,1367975.5189967568,1.00002414,18208979,77,356457797.2370654
2023-09-23,304212309.66351247,275079296.4873248,304212309.66351247,0.90423460112968,7.509595279545219,6.009595279545218,4.890394654349913,Aave Ethereum USDC,1930893.0010901096,1401150.5934012353,1.0001,18201883,77,357245839.5939283
2023-09-22,303678342.3394352,274482333.8340205,303678342.3394352,0.903858772803821,7.291960405359414,5.791960405359414,4.711400344218865,Aave Ethereum USDC,1877984.2654544737,3539121.004074997,1.0001,18194797,77,356470563.4208059
2023-09-21,305266762.23982984,271244894.7714998,305266762.23982984,0.8885503707684983,4.993623601114972,3.4553652078048,2.7631527036112593,Aave Ethereum USDC,11257160.172146078,6729339.045737194,0.99996382,18187587,77,352266097.1058439
2023-09-20,300726512.6514813,270128125.22213703,300726512.6514813,0.8982517797996565,4.999019591772537,3.4931371424077677,2.8238930707119,Aave Ethereum USDC,10122659.539272472,660251.2495706717,1.00004374,18180492,77,350815747.0417364
2023-09-19,291631477.247346,262018298.3394096,291631477.247346,0.8984568497630999,4.999138630058512,3.4939704104095837,2.8252404786692416,Aave Ethereum USDC,7307866.954345918,1903282.811729662,0.99996293,18173374,77,340283504.3368956
2023-09-18,286208782.1464405,258557239.1672516,286208782.1464405,0.9033868116421364,6.995609722690034,5.495609722690034,4.467894513670993,Aave Ethereum USDC,6911850.010719024,4851951.737020496,1.00006729,18166222,77,335788622.295132
2023-09-17,284100933.9160293,255857248.3622036,284100933.9160293,0.9005857349199226,5.321412903001692,3.821412903001692,3.0971868285534536,Aave Ethereum USDC,4090717.48071582,3749058.3174342182,1.00000954,18159124,77,332282140.73013455
2023-09-16,283747668.69712967,255617575.06070733,283747668.69712967,0.9008622916072372,5.49215669792813,3.9921566979281304,3.236594075308882,Aave Ethereum USDC,1948668.5757746329,1186329.9098624869,1.00004962,18152039,77,331970876.7022173
2023-09-15,282963560.08484566,255709193.87464023,282963560.08484566,0.9036824169089712,7.190671343300005,5.690671343300005,4.628143374026863,Aave Ethereum USDC,8504073.703823425,9314978.136592353,1.00007339,18144813,77,332089862.17485744
2023-09-14,283759276.7113284,254238484.266788,283759276.7113284,0.8959653661840553,4.997745695574019,3.484219869018133,2.8094938164243413,Aave Ethereum USDC,9954769.589785913,7705237.066513032,1.0000986,18137918,77,330179849.6971273
2023-09-13,281435676.6963525,254022988.41756403,281435676.6963525,0.90259696780247,6.549851228987744,5.049851228987744,4.10211927268025,Aave Ethereum USDC,3307814.9487655573,4168811.6524990345,0.99993156,18130793,77,329899984.9578754
