datetime,totalValueLockedUSD,totalBorrowBalanceUSD,totalDepositBalanceUSD,utilizationRate,borrowerStableRate,borrowerVariableRate,lenderVariableRate,market,dailyDepositUSD,dailyWithdrawUSD,inputTokenPriceUSD,blockNumber
2023-11-02,386586905.202098949817216,53725737.312610160491793,386586905.202098949817216,0.13897453997962902,8.1618054218085789,1.2353173838906165,0.1373408135048121,Aave Ethereum WBTC,8201100.2325780973516698,1746580.3929109733681545,34719.3599027,18486181
2023-11-01,387582090.1151580583405084,44184040.6811821444001442,387582090.1151580583405084,0.11399918058147171,7.7733045021755614,1.0133168583860351,0.0924129949940409,Aave Ethereum WBTC,12354555.30199326482768,32666323.0870425265667777,35388.97903289,18480664
2023-10-31,399931750.822736886518232,43112205.779484805143336,399931750.822736886518232,0.10779890741556447,7.6768584066122853,0.9582048037784487,0.0826340801385686,Aave Ethereum WBTC,38605771.716356700015063,18754384.1087667559686663,34654.6185102,18473541
2023-10-30,377358333.9411639040677546,43904101.7817498685802322,377358333.9411639040677546,0.11634591801169868,7.8098112248936149,1.0341778427963514,0.0962571429477823,Aave Ethereum WBTC,7865403.4732045183518616,7784202.0656571656101004,34438.38427433,18466166
2023-10-29,378201070.2021190085073,45007790.577196800800556,378201070.2021190085073,0.11900492654117463,7.8511744294763128,1.0578139597007502,0.1007073336004002,Aave Ethereum WBTC,7376394.2450848185734492,2293895.5056605073895662,34521.8485692,18459264
2023-10-28,368119953.1504827411896576,44902684.8887322836908384,368119953.1504827411896576,0.121978405420411,7.8974293751298121,1.0842453572170355,0.1058029195182027,Aave Ethereum WBTC,5551202.0109553023197665,1893271.6051064056112225,34065.19065632,18452127
2023-10-27,361847960.4365432052639101,44717578.912085304198886,361847960.4365432052639101,0.12358112743854296,7.9223617404122204,1.0984924230926974,0.1086017043232859,Aave Ethereum WBTC,4677248.3079796319053017,339303.9564820840129284,33820.65287501,18444927
2023-10-26,360583832.778910169759144,41924158.682498190206724,360583832.778910169759144,0.11626743872403103,7.8085950575502894,1.0334828900287368,0.0961278195583935,Aave Ethereum WBTC,4079377.9126184284228629,5737310.088277388629317,34110.6868966,18437271
2023-10-25,364453413.0195635570823468,42516480.5984461017954622,364453413.0195635570823468,0.11665820398329992,7.8146747621843821,1.036957006962504,0.0967751850859771,Aave Ethereum WBTC,3134697.3606492794639231,2801298.993149562129627,34316.98406389,18430529
2023-10-24,360802261.4249016784795731,41550688.2224859090551154,360802261.4249016784795731,0.11516193955767202,7.7914008783496141,1.0236576447712081,0.0943087476328683,Aave Ethereum WBTC,5171920.0792497156834687,11083232.8643182453740259,34002.11839601,18423051
2023-10-23,355307223.9422400013959432,40708343.9096353471601916,355307223.9422400013959432,0.11457223823924571,7.7822289352083232,1.0184165344047561,0.0933455013794094,Aave Ethereum WBTC,3790315.9280603412110583,2283701.8565892097438065,32957.78854017,18416398
2023-10-22,321882138.7265542470794481,35997595.6585053262815009,321882138.7265542470794481,0.1118347100616417,7.7396463921074924,0.9940836526328528,0.0889382077588687,Aave Ethereum WBTC,1612136.3279856711870587,885732.6817688369607676,29993.14895159,18409154
2023-10-21,321374797.2574478658724377,33180940.5598561382239713,321374797.2574478658724377,0.10324686578728653,7.6060589357642479,0.9177479632938559,0.0758035191717019,Aave Ethereum WBTC,1891418.9377888744744775,7578795.7139811859427872,30014.02585209,18402069
2023-10-20,322967746.238962674762297,32873363.069270225585985,322967746.238962674762297,0.10178528181865983,7.5833240896058183,0.9047566226318962,0.0736726091576648,Aave Ethereum WBTC,2429581.431388031473517,1905259.1497056733584111,29639.43879534,18394902
