name,maximumLTV,totalBorrowBalanceUSD,totalDepositBalanceUSD
Aave Ethereum GHO,0,26526784.169592038304389069,0
Aave Ethereum DAI,77,62183142.25089508579612678186595116,69354286.88433278520073695958171666
Aave Ethereum wstETH,78.5,17741876.54985002743541960794493482,1474339550.16927849641702036538802
Aave Ethereum STG,35,0,491927.76387380000000206568300432
Aave Ethereum USDT,74,235442301.321952814268,291955636.855356700288
Aave Ethereum BAL,57,413014.27713044806695414926,1158407.8184102432334284575
Aave Ethereum LUSD,77,3535644.21188933056762537648863715,4381472.73884875736940692892122325
Aave Ethereum sDAI,77,0,115959006.1288450896227121252615949
Aave Ethereum WETH,80.5,542549428.2117440286892097250710064,730354231.0534757203216679572124628
Aave Ethereum ENS,39,15783.330299401168773047586,271756.287341147229013336734
Aave Ethereum KNC,35,0,37652.00311873
Aave Ethereum LINK,53,3722376.29236896886545969869054622,35581966.98100251669029248075891452
Aave Ethereum WBTC,73,41825213.1758304706957666,360705205.8128591578151382
Aave Ethereum 1INCH,57,54635.295909681564220417736412,496445.066647667862096203117484
Aave Ethereum CRV,35,460218.1617532384394350014593,2130305.8703908276630389738509
Aave Ethereum MKR,65,1024566.87625664931710341442032032,15100890.861024176943734882419572
Aave Ethereum cbETH,74.5,3470051.27151504181420851508570125,18981703.35314467835826798266022375
Aave Ethereum USDC,77,311640044.73603848434658,347912948.99116887324854
Aave Ethereum LDO,40,577862.0924261236925880165537119,5371777.96574045321589712017194653
Aave Ethereum AAVE,66,0,49917418.38976906966568626166884664
Aave Ethereum RPL,0,4535727.84914628499434484648418688,10049375.4385307122286532846850584
Aave Ethereum SNX,49,642407.15791415497387041329960356,1308020.37626594464769115864128872
Aave Ethereum rETH,74.5,5817784.34829145508989037355321915,78678017.32837112235586093267576315
Aave Ethereum FRAX,70,249404.94269428213390702902565842,310437.29459326986683743546703922
Aave Ethereum UNI,65,358881.03131294320155147092869456,7143239.97680339059018407634242806
