timestamp,totalLiquidityAsCollateral
2023-11-01,60592034227506
2023-11-01,1681758840067319495932573
2023-11-01,1681757240067319495932573
2023-11-01,423013476347
2023-11-01,0
2023-11-01,465951935545164178962487
2023-11-01,60592034227506
2023-11-01,423013476347
2023-11-01,1898073512081075805173872
2023-11-01,60592034227506
2023-11-01,60592034227506
2023-11-01,18817100168886
2023-11-01,60592034227506
2023-11-01,423000919440
2023-11-01,1681757240067319495932573
2023-11-01,1681757240067319495932573
2023-11-01,1681757240067319495932573
2023-11-01,1898073512081075805173872
2023-11-01,60592034227506
2023-11-01,60592034227506
2023-11-01,423000919440
2023-11-01,422983434412
2023-11-01,60592034227506
2023-11-01,423000919440
2023-11-01,18817100168886
2023-11-01,1681757240067319495932573
2023-11-01,424783434412
2023-11-01,424783434412
2023-11-01,1681757240067319495932573
2023-11-01,60592034227506
2023-11-01,26895995528175105691043420
2023-11-01,1681757240067319495932573
2023-11-01,1681757240067319495932573
2023-11-01,1681757240067319495932573
2023-11-01,1681757240067319495932573
2023-11-01,60592034227506
2023-11-01,60592034227506
2023-11-01,1681757240067319495932573
2023-11-01,26895995528175105691043420
2023-11-01,26895995528175105691043420
2023-11-01,18817100168886
2023-11-01,26895995528175105691043420
2023-11-01,60612034227506
2023-11-01,26895995528175105691043420
2023-11-01,20596005921248
2023-11-01,1681757240067319495932573
2023-11-01,26895995528175105691043420
2023-11-01,26895995528175105691043420
2023-11-01,18817100168885
2023-11-01,26895995528175105691043420
2023-11-01,0
2023-11-01,18817100168885
2023-11-01,1681757240067319495932573
2023-11-01,18817100168885
2023-11-01,60612034227506
2023-11-01,424783434412
2023-11-01,424754501752
2023-11-01,18817100168885
2023-11-01,60662034227506
2023-11-01,448754501752
2023-11-01,18817100168885
2023-11-01,18817100168885
2023-11-01,18817100168885
2023-11-01,60662034227506
2023-11-01,1898073512081075805173872
2023-11-01,1898073512081075805173872
2023-11-01,1898073512081075805173872
2023-11-01,60553603491361
2023-11-01,448754501752
2023-11-01,18817100168885
2023-11-01,18817100168885
2023-11-01,1681757120067319495932573
2023-11-01,-1363339545056413628825
2023-11-01,-1363339545056413628825
2023-11-01,1681757120067319495932573
2023-11-01,18817100168885
2023-11-01,18817100168885
2023-11-01,18817100168885
2023-11-01,60549108922103
2023-11-01,18817100168885
2023-11-01,448754501752
2023-11-01,18816199979421
2023-11-01,60584011622103
2023-11-01,1681757120067319495932573
2023-11-01,448753754043
