datetime,totalBorrowBalanceUSD,totalDepositBalanceUSD,blockNumber
2023-11-17,1481258694.687124698996061312729751,4105276492.194375561487538829712141,18591552
2023-11-16,1448821322.352097738763692596076186,4074560017.722549548085186736465932,18587880
2023-11-15,1416845523.27277542380105592337266,4104063980.747460970032051231062528,18580717
2023-11-14,1353000055.358301649879619291373075,3883383166.892993561254001150286347,18573576
2023-11-13,1366717282.757588561031105464261426,3998531934.552434307111415940843097,18566410
2023-11-12,1349145646.673619906409478548076417,3986400826.957714616447413129170374,18559255
2023-11-11,1357357756.283075051861290397532872,3931148246.434673437989419134028301,18552120
2023-11-10,1364857804.913345751914755287979035,3979677799.182213838352650594449738,18544953
2023-11-09,1383330074.356119670839433474272247,4027725821.53584060187686113838351,18537819
2023-11-08,1368522745.529089806374217663469034,3861703109.63712706533476895279942,18530674
2023-11-07,1360273852.116483528955203964693567,3821515457.784223162840374590170248,18523490
2023-11-06,1342372273.308136275643828944189906,3746416622.012941294657573409370059,18516359
2023-11-05,1346331303.005811389612688562089251,3806370067.805987738802634606276755,18509221
2023-11-04,1285288407.044159305611781958852437,3812757598.758334593130641567651724,18502096
2023-11-03,1272429345.057148824643681752328968,3724398063.021308967208768371203412,18494962
2023-11-02,1264044814.870515293434260582153796,3655286277.406342853200453392898627,18487824
2023-11-01,1251504882.284229010015931074590083,3669084464.537681688090194380577609,18480681
2023-10-31,1244631782.369737834990295640907211,3630522766.911840451390104756417957,18473541
2023-10-30,1249070592.156262965761467370550328,3603229135.867695852424341645742447,18466405
2023-10-29,1260827257.412495915539419651221123,3641387921.050397857980715029369588,18459264
2023-10-28,1253475328.589480058177710622607174,3593339841.194603479108217598222011,18452127
2023-10-27,1254889988.095980129676804127814573,3606815861.409306875747897838392796,18444966
2023-10-26,1261626607.241475779120049586466888,3635167919.315265279514546841335369,18437800
2023-10-25,1258060454.573183405442280555848939,3628203746.291270454660282862765335,18430670
2023-10-24,1259258806.111780570997566583169638,3628765913.578178529060545198861137,18423549
2023-10-23,1241525067.550439178902644535550741,3584918082.916859054132467629646084,18416403
2023-10-22,1208903395.363411445420261434034915,3425772549.325777325190282879611911,18409265
2023-10-21,1177527479.279488182435505487026387,3344410768.031507727833135848673082,18402069
2023-10-20,1173737785.933601761642175545454896,3260001624.605010973502142188786027,18394959
2023-10-19,1143314173.086701339620157468396747,3214121753.657003450900512003075835,18387789
2023-10-18,1152829291.843750113533061382681333,3196032393.007592727213629115346435,18380661
2023-10-17,1144893806.629279933841042253170975,3167867623.607378649870814814716243,18373489
2023-10-16,1124943072.472199996572368355972127,3151177196.681208778814777179951856,18366368
2023-10-15,1093208913.948300263509595661373929,3034332324.981179495917977448596036,18359211
2023-10-14,1092245396.644435696223048886001875,3034105868.436316563540106286341629,18352018
2023-10-13,1081338971.105707725343764824951051,3006158139.899955895582315752941311,18344865
2023-10-12,1111745878.137307915779619453847728,2991498933.345279021627543655142752,18337746
2023-10-11,1095196983.901759677140308221135765,2984666155.237576436167291451254155,18330617
2023-10-10,1099322478.903654763027928829489082,3024922181.021560308409239419112055,18323488
2023-10-09,1134686489.406367557920598235205554,3062116704.445895841437538367386313,18316322
2023-10-08,1134586310.5573935869307979011112,3126267069.17112447171765802329142,18309193
2023-10-07,1143674861.883409568613316219993791,3175630093.641331772039730664872013,18302031
2023-10-06,1139623080.451050547362977006601888,3158664578.835269769954511928780977,18294884
2023-10-05,1117236526.690549088963678673224957,3087169663.824223955040326029052371,18287740
2023-10-04,1121056196.807759982592874383482517,3115000544.992129734231190202729614,18280575
2023-10-03,1111500688.710898350707449141863427,3090403044.812057072949623204225684,18273436
2023-10-02,1108879822.141269826579313370612067,3084885482.230278954125122874190609,18266252
2023-10-01,1109800241.072772221917229120152819,3136088896.811311512951178511711421,18259122
2023-09-30,1095297026.649152285005489814651306,3041563942.289806324286128968394547,18251943
