name,maximumLTV,totalBorrowBalanceUSD,totalDepositBalanceUSD,totalCollateralUSD
Aave Ethereum GHO,0.0,26526784.16959204,0.0,inf
Aave Ethereum DAI,77.0,62183142.25089509,69354286.88433279,80757327.59856504
Aave Ethereum wstETH,78.5,17741876.549850028,1474339550.1692784,22601116.624012776
Aave Ethereum STG,35.0,0.0,491927.7638738,0.0
Aave Ethereum USDT,74.0,235442301.3219528,291955636.8553567,318165272.05669296
Aave Ethereum BAL,57.0,413014.2771304481,1158407.8184102431,724586.4511060494
Aave Ethereum LUSD,77.0,3535644.2118893303,4381472.738848757,4591745.729726403
Aave Ethereum sDAI,77.0,0.0,115959006.12884508,0.0
Aave Ethereum WETH,80.5,542549428.211744,730354231.0534757,673974444.9835328
Aave Ethereum ENS,39.0,15783.330299401168,271756.2873411472,40470.07769077223
Aave Ethereum KNC,35.0,0.0,37652.00311873,0.0
Aave Ethereum LINK,53.0,3722376.292368969,35581966.98100252,7023351.49503579
Aave Ethereum WBTC,73.0,41825213.17583047,360705205.8128592,57294812.56963077
Aave Ethereum 1INCH,57.0,54635.29590968157,496445.0666476679,95851.39633277469
Aave Ethereum CRV,35.0,460218.1617532384,2130305.870390828,1314909.033580681
Aave Ethereum MKR,65.0,1024566.8762566491,15100890.861024177,1576256.7327025372
Aave Ethereum cbETH,74.5,3470051.2715150416,18981703.35314468,4657786.941630928
Aave Ethereum USDC,77.0,311640044.7360385,347912948.99116886,404727330.826024
Aave Ethereum LDO,40.0,577862.0924261237,5371777.9657404525,1444655.2310653094
Aave Ethereum AAVE,66.0,0.0,49917418.38976906,0.0
Aave Ethereum RPL,0.0,4535727.849146285,10049375.438530711,inf
Aave Ethereum SNX,49.0,642407.1579141549,1308020.3762659447,1311035.0161513367
Aave Ethereum rETH,74.5,5817784.348291455,78678017.32837112,7809106.507773764
Aave Ethereum FRAX,70.0,249404.94269428213,310437.2945932698,356292.7752775459
Aave Ethereum UNI,65.0,358881.0313129432,7143239.976803391,552124.6635583742
