timestamp,totalValueLockedUSD
2023-10-13,99786.26583810287440615763573
2023-10-12,101040.7862310043716124149465236
2023-10-10,104999.48746605026966456266671846
2023-10-07,117402.66052896637279969664599416
2023-10-06,120842.33453895502487104387017188
2023-10-01,112748.43885788924501930469892864
2023-09-30,109430.70929501752969365386575104
2023-09-29,108944.019413908796893707827213
2023-09-28,108944.019413908796893707827213
2023-09-26,106006.67780711747345573514931304
2023-09-22,104319.96107609990429300908319434
2023-09-20,108573.17124414858841964918074
2023-09-19,110207.74106639999848024151145404
2023-09-17,110405.2017513118604707124961184
2023-09-16,114236.54339772420198034808828544
2023-09-15,110283.56198657208663734277251844
2023-09-14,110283.56198657208663734277251844
2023-09-13,109815.39507857394545695682234668
2023-09-11,109896.71063069010350621259952422
2023-09-08,119781.02887036179328136170139418
2023-09-05,119803.8182088511533917288929448
2023-09-03,121479.42936611874928751347263626
2023-09-02,120778.75188835699134408140905645
2023-09-01,123026.28907391183763404932838584
2023-08-31,127981.1977668744106890602040567
2023-08-30,130274.56744587537307519240126422
2023-08-29,126649.69225420222777662002361123
2023-08-28,122275.53594301322909811434940792
2023-08-27,123278.91296530787978423709594305
2023-08-26,122869.23846625035256289180267203
2023-08-25,122317.08841939445011416682974748
2023-08-23,127437.88181317455041504396424841
2023-08-19,130956.53346789778665666618341699
2023-08-18,131664.83152106546403027059392096
2023-08-17,133030.04169042518410390089864951
2023-08-15,138343.72379706860719875541474222
2023-08-11,145680.06892099897056507206134064
2023-08-10,146304.25073022176695608232187175
2023-08-08,145881.88617930873180242316925812
2023-08-04,146575.7725289500210181444185906
2023-08-03,147290.95344197427086826245929295
2023-08-02,149408.36287971480233348482873212
2023-07-31,149851.54354414914535549280273232
2023-07-28,153068.7685486486797056563733789
2023-07-26,156936.1459911131491868426552087
2023-07-24,158421.33168816469669692800517816
2023-07-23,160282.45118874326494096263422277
2023-07-21,164409.30454724950667599181589272
2023-07-20,167981.0079757646500846640250966
2023-07-18,155076.94414696031632764270855816
2023-07-17,158816.15953422348756729514804534
2023-07-15,170053.25383669477788907672245707
2023-07-14,177009.65544335952402011869225656
2023-07-12,169336.40286094385525097511640184
2023-07-11,159779.16421413111681552532397772
2023-07-08,160841.83788637608327132080526222
2023-07-07,147474.72554521381253516356328934
2023-07-06,148905.76480560650529113511798244
2023-07-05,147772.35736959121058112848323734
2023-07-04,154238.35309567092235772071906862
2023-07-03,156981.77991525099154750147179213
2023-07-02,150871.68157293772514571648646806
2023-06-30,149410.53991692430948894695407904
2023-06-29,150692.4899757416990790670888122
2023-06-28,148635.2274271637672650522480928
2023-06-27,155582.82999351879896715040015607
2023-06-25,157815.67387905890567196790572285
2023-06-24,150232.12354340849310645258178158
2023-06-23,156227.72840500442788703234887379
2023-06-22,147648.8611429248678043841590832
2023-06-21,146923.53085985062719162746560746
2023-06-20,133044.83446117790490291313808055
2023-06-18,134452.82174708438818730238386785
2023-06-17,137405.565057911285121162423807
2023-06-16,142614.2803999606367554509066756
2023-06-14,147988.05438751462807145583609843
2023-06-12,143203.56327472131328857046053796
2023-06-11,144928.10438349181905104649215463
2023-06-10,162835.10076694934568083761497684
2023-06-09,175788.5582541580715151599524173
2023-06-08,177078.3016105901756350371587382
2023-06-07,178905.98676393563534306120269776
2023-06-06,181730.5429670838113710574308286
2023-06-03,180029.08703305625516704304513406
2023-06-02,178194.19587798069515964754051928
2023-05-29,179105.0542512484767045383609702
2023-05-28,168845.1438367806472678717941762
2023-05-26,163715.70617617470186420328271952
2023-05-25,162301.4100545103164447174606448
2023-05-24,162215.00342619603969586749402632
2023-05-23,167926.76013505779548398798702687
2023-05-22,166254.74471152766304744803857657
2023-05-21,163902.05362310342154936050886656
2023-05-20,164798.75807178971593223217322404
2023-05-19,165385.7237947633237150656679838
2023-05-18,168247.65283563753605624371229646
2023-05-17,164935.42387969888253535735388728
2023-05-16,163198.43724565430609176262779494
2023-05-15,167143.47666951592682611244066772
