mintAmount,openedAt,openTxhash,premiumEarned,strikePrice
1670.93984097,2023-10-06,0x6712f55f20ad8cbbf33b518d38807a393356e7abbe88f557d5f840a599196938,5514.101475,1500.0
1676.19505029,2023-09-29,0x215e3698ffa8da3cf6c32451925f2734c2ee6422d5cdf62931618b4c1049a877,6872.399706,1550.0
1727.03785616,2023-09-22,0x0f9f618eb6503ac66a16d652632b54dd854f96b63375480dc779cae538690887,8462.485495,1500.0
1682.09001965,2023-09-15,0x14a6ff350e733fde5c1018285ebc4a100bc8ef90c8302ee3e464564c7abe25cc,6391.942074,1500.0
1683.85892268,2023-09-08,0x135f8904170acc57ceb5510987dbc89028f40fa41040d40f08c68c2329bdd9ca,7408.979259,1500.0
1637.6291659,2023-09-01,0xed5b42b7f684d578becb80e181582c09a2eb1750625fe42e26f8d9e059dbdade,7860.619995,1550.0
1770.87389633,2023-08-25,0x63cff1898484265ddb0a20aea8a2acfa33681793b5a867d4fbc3648bae2cd288,10802.330766,1550.0
2439.22638843,2023-08-18,0xcfb7cfc13d97ca4c8f9aa402eb8b94a73cf11ce644a6a90317f1fb321cb99656,11220.441386,1500.0
2161.199627,2023-08-11,0xa16053aadb57a9f68d7c5c647ace85c402c468834c555e894e70a3bea8c01bb2,7888.318657,1750.0
2192.29593792,2023-08-04,0x184be95e557d1b9d12121c09f99be218c71c0ab8274e9946e92ec71e70ed8f36,8221.124564,1725.0
2158.868382,2023-07-28,0xee50f7ce38181504abd9924982fdf0217678833f347a3613a7effb026c12fb21,7987.813013,1750.0
2156.75017167,2023-07-21,0xd0fe88223e61f5b5c888dbfb580903c4b6368ee2e2570f7304c19101b211aa81,9705.300755,1750.0
2138.8425585,2023-07-14,0xb65162c1b185fecb2131a1edd9b5113b6ead3afbf3ae14f4db5347aeeda1019f,9410.907256,1800.0
2269.6811108,2023-07-07,0x2079a0a28c27356fe1a63fbeb6bed545feacdab32fc032e3497ba881f832abc2,9078.724443,1700.0
2230.71880466,2023-06-30,0x378e99c0bbe40b3f50c625613c89f4f151bf5f70fd0f937298bfc5b89c313aa1,10595.878381,1725.0
2256.16309389,2023-06-23,0x7f2926ebaee55392a42e5e6c4f4ba1d5c1f35641937e862378d00f65b051a974,10603.966541,1700.0
2570.98350355,2023-06-16,0xa4096e785306b6f054ea23b36b40d8862ee048603c022a1b7518934fbccf1daa,12726.417517,1500.0
2327.97263159,2023-06-09,0x07a9d4141740f3997626828b248124eba9e109e963e01a047a523bc40dc6d7ba,11639.863157,1700.0
2255.42445071,2023-06-02,0x5ad4381b80f9c14012f06ae42912af763f9d96d6ebde625f0e98816b9b2b0e39,10826.037363,1750.0
2343.59397986,2023-05-26,0xcc8eb7e3fa72f856c3f72ae81855346667088e9b9d83e5e757ca359894b1d5bb,10428.99321,1650.0
2356.9306461,2023-05-19,0x35b6c9b8cc11a7f50fa242b2dd4d88cc5ce0009b8808cc37c0d8f3ef9f76fb57,10488.341374,1650.0
2427.32945639,2023-05-12,0xea2061c49a57d9bf1a309cbd3be72f20e56b2396bbeecd226adec1c878adf967,15292.175575,1600.0
2745.2647289,2023-05-05,0xf135943f31045b2e564f54d5370e2af222c2db92d2d5317e960079fabdb25f00,11255.711861,1700.0
2740.09875519,2023-04-28,0x1ee0a6c298cb6b05e23c67bf970c7cbb1d71942b62027ea13f4048f3c1844893,13426.474024,1700.0
2811.41413375,2023-04-21,0xe14360af4308bf8e7076c37313f70e7e4f696d6941b9694ba1665fe9df406bb1,17571.409042,1700.0
2658.51977406,2023-04-14,0x4f5c074dcf3f1e91b2dc0a8d6a00aa218ac2bc781884e1434ddae0c1c2a1800a,15419.414689,1850.0
