mintAmount,openedAt,openTxhash,premiumEarned,strikePrice
37.0267709,2023-10-06,0x45ac03df688481dbb08a164c4c6d3aefb29cd470642f36d02822d4cd828d372d,0.06701845,29500.0
37.00240274,2023-09-29,0x8f972b904bae22b0924bc75d9a52f36dfdc9db6016862d0bfbd4c70f5fc0be55,0.05180336,29000.0
37.30360805,2023-09-22,0xdffcfacfeab668ef2f1c971ec4d728fe6c13ba130719186a325b5debd781476d,0.08579829,28000.0
37.26070567,2023-09-15,0x6e37cadb6f6bb2494f01e2e123a1cb9af3cf12d4db04f7f0e93839ac9107c7ab,0.07265837,28500.0
40.50351504,2023-09-08,0x398517b43c231ff9cfed7b298fa34f7544a2252bdc9dd64358c6df1c9785f8f6,0.06885597,28000.0
40.90545498,2023-09-01,0xa158c1ebda5bbc77076dbe902c35a3a2f38a56da70b6863f5cfea0b4b5e56bfc,0.08671956,27500.0
43.00771385,2023-08-25,0xe8c050b1a13dd476d59e8bb06763403b668a9711b005826085b21c77f3e5c76f,0.13461414,28000.0
42.91944358,2023-08-18,0x7596037422d61777e973fc41a87146761d5b11f8a1a8328cbdedffff8b28f901,0.13305027,29000.0
45.17719954,2023-08-11,0xeb36cfea9ef40c42b2fa0322c95d27f6cffb2c2cd195e77f687bd51ec606a7f4,0.09125794,31500.0
46.37571599,2023-08-04,0xc62db8c6973e7e4b7a04253c7e8957a51433e22937eb3a36eded1f9745c99f62,0.10666414,31000.0
50.42127797,2023-07-28,0x01c43eea25a7b8b7f3a10b49d07a7e9d0abedafe3297aecbbbf0f66a33accabd,0.11596893,31250.0
50.56662554,2023-07-21,0x0463e90272e62e6f172d29ed6bdb6e42f0e94f49928b206f26de7456b25690d2,0.11124657,32500.0
50.67056364,2023-07-14,0x2b468f5068a99c735dbb750f7a51ab37cbcd0c830af2aac95b6b26eb07dd8b91,0.1444111,34000.0
50.69330003,2023-07-07,0x32d458fb73040fb065eddc01c92b9e89b7f4daff6b1fb6fd91737423bae88c4c,0.1520799,33000.0
51.15830399,2023-06-30,0x9e376c8a692eacb24bd125a42e96b14a585000cd7cfaef541c01025ee829bbb8,0.1688224,34000.0
55.12152472,2023-06-23,0x190b879451b3b68330dd2771f2d74981e64cb74ac6de585c3c5b86010f2c9057,0.14882811,34000.0
59.98689121,2023-06-16,0x18abeb00eb5216fa57e34b2babc8f1741043db1c849e6286eed126428ab9eeff,0.13197116,27500.0
67.24570563,2023-06-09,0xcf9af798360fc75197bc7c9b0fe5baff853212d7709f031938966783ee7e7064,0.12776684,29000.0
67.94377081,2023-06-02,0x1effb541ef57a6ff5efe4a457916debd8750acad2c4c28e19fa96624ba7d0fc4,0.14947629,29000.0
70.55603899,2023-05-26,0xfb005505c42c88a9b7bda36b154e55f6e93999452cd8bfb26b2d0fc04226c7b1,0.15522328,28500.0
63.24822533,2023-05-19,0x042e915a31afbe540c27a1b306dedbea05b07e0f734b159c48dc3374bbda355e,0.19733446,29000.0
63.40001732,2023-05-12,0x12164b11c03ddeb9c90231e03b096fdf306a8451e263d63780323f32529fb4f0,0.19020005,29000.0
75.4868775,2023-05-05,0x50dacf369a2decc651e934359ddeabee18c72962a20535a51ae9ce69ad71e20b,0.16607113,32500.0
75.97929561,2023-04-28,0x8803ffb163d6eafd18e6f9da3dcefefb37459f095ccc54575a1c6bd4e06183e4,0.22793788,32500.0
