openedAt,mintAmount,option,depositAmount,withdrawAmount,premiumEarned,strikePrice
2023-10-06,1356.36309712,0x706816242624ea509c5117ce8822ed7883524ee6,1356.3630971246757,0.0,6.510542866176,76.0
2023-09-29,1533.78814163,0x9dd2aa535a6c16db10bb0adfcaa4731dd24eac10,1533.7881416364585,1533.7881416364585,3.834470354075,76.0
2023-09-22,1532.29135185,0xb2d8002ed0fcabd649d907f17620838939bf5e9a,1532.2913518520324,1532.2913518520324,3.830728379625,75.0
2023-09-15,1593.78839826,0x066697bf6accb06e1d07ec4b9b14b59c668bb86d,1593.7883982613394,1527.6693654970784,5.259501714258,61.0
2023-09-08,1683.49548646,0x7a00ddace95731a32de5cf6e97c1c3d7bf9415f2,1683.4954864626511,1683.4954864626511,6.73398194584,62.0
2023-09-01,1818.57225427,0xf1407b6cf1104f7613377b9ad6a6b29054d4165c,1818.5722542751912,1818.5722542751912,16.36715028843,61.0
2023-08-25,3426.74373387,0x7ad4fb3d47390a0b203650bd730eb55e9afa07d4,3426.7437338760737,3426.7437338760737,7.196161841127,64.0
2023-08-18,6719.10040101,0x730cb4b169b50105041ce0838b0e15b28b746491,6719.100401015053,6719.100401015053,8.062920481212,67.0
2023-08-11,6942.53513657,0x292472fbcf3575da249820a0f992b3d9396f620e,6942.535136575504,6942.535136575504,3.471267568285,78.0
2023-08-04,6921.94046578,0xada5354b16091fe52359987d132cc204d0b542a4,6921.940465785207,6921.940465785207,17.30485116445,77.5
2023-07-28,6915.88282316,0x0f776080e3511ade56719854cd2864a043c4d2b5,6915.8828231621,6915.8828231621,11.065412517056,85.0
2023-07-21,6907.8948386,0xf2a885f8094c6845409d4f14f2b5060c1a81a910,6907.894838602386,6907.894838602386,14.50657916106,91.0
2023-07-14,6772.78689532,0x0fbd0287e0a9880f0734859a385c93f45406d5d2,6772.786895329649,6772.786895329649,7.450065584852,100.0
2023-07-07,6895.97721288,0x3e18df776e74239950626108044c2cb6a9c35bba,6895.977212884041,6895.977212884041,14.481552147048,93.0
2023-06-30,6883.98679593,0x3d3b33b5800548e02a4d022d5c90752206c0e4fe,6883.98679593156,6883.98679593156,18.586764349011,82.0
2023-06-23,6897.73630546,0x0534768226a208a7b96c656b9183688dbf1f7eab,6897.736305462694,6857.444163216737,24.831850699656,65.0
2023-06-16,6128.55091736,0xd76d37d28fa473604aaf6642f23d0b5f125a1fb3,6128.550917361064,6128.550917361064,12.869956926456,62.0
2023-06-09,6153.1705466,0xd01f1bb8a29b408c002e243ce11ce2fdb8078727,6153.170546609308,6153.170546609308,14.76760931184,67.0
2023-06-02,6146.7047731,0xdebb372ada0e62894a581b720fd7eb1464c2e0e0,6146.704773106464,6146.704773106464,12.90808002351,70.0
2023-05-26,8088.74919385,0xa26b28b442e4def4722e87ec06ad337d01746400,8088.749193858896,8088.749193858896,16.986373307085,70.0
2023-05-19,8064.99760792,0xd276a6435631455e4b4f77ead96a7184632a4576,8064.997607925804,8064.997607925804,33.066490192472,72.0
2023-05-12,8161.24239517,0x0d0e263ecd151b33055420c2212ab73bdf103ba5,8161.242395175227,8161.242395175227,23.667602945993,70.0
2023-05-05,8137.27794215,0x84b8883053c02670888b9a2a261d7acb9e58b284,8137.277942152372,8137.277942152372,33.362839562815,79.5
2023-04-28,8123.76756913,0x2541cab92f5d7390e11b992edfb6966e64e30fc3,8123.767569134852,8123.767569134852,21.121795679738,81.0
2023-04-21,8103.54749525,0x59442f1cd8e2643667e46edb5c1dddc7449a2a93,8103.5474952551795,8103.5474952551795,29.1727709829,83.0
2023-04-14,7967.55023152,0x26b694485a2b4e057a71ac40ea6928decd815a3f,7967.55023152334,7967.55023152334,17.528610509344,100.0
2023-04-07,7947.8368205,0x923b3f53e64c54e7e541dd5be15783751973704b,7947.8368205077995,7947.8368205077995,19.86959205125,92.0
2023-03-31,7806.65909864,0x0645fe457da95248ad96fc76160f6d46d4825e9a,7806.659098644158,7806.659098644158,18.735981836736,82.0
2023-03-24,18889.62687607,0x595c1ee59eb4bcc6658a9b3fe773e13511787bd7,18889.62687607524,18889.62687607524,32.112365689319,88.0
2023-03-17,19135.17296194,0xf9f7e6c73033e5b55b2cc691424d188de2461bab,19135.17296194028,19135.17296194028,59.319036182014,92.0
2023-03-10,20789.67575783,0xeb43ab4612e0e2c2b168ae8906445521dc982bb7,20789.67575783103,20789.67575783103,47.816254243009,80.0
2023-03-03,21050.09545372,0x0db44a0636ae061cc2562fffa500f70dfdcb7a0f,21050.09545372773,21050.09545372773,61.045276815788,92.5
2023-02-24,29907.08328862,0x487ecd737caec138427a6b6c23194e6e40f846de,29907.083288621503,29907.083288621503,86.730541536998,103.0
2023-02-17,28589.87267557,0x688279a0cc0fb2fc8dc68d625e523e45e53bbfda,28589.872675576273,28589.872675576273,88.628605294267,102.0
2023-02-10,27072.14665045,0x30fd37fabcf2ebfbac9fb33d93afd67d4811a1cf,27072.146650456914,27072.146650456914,162.4328799027,94.0
2023-02-03,26995.9846178,0x1ff7a0b23e18ecf42be63414b95759c4fc6e50ca,26995.984617804166,26995.984617804166,151.17751385968,106.0
2023-01-27,27015.87850934,0xb2a7679689ec9739fe2ae548521110e2f15373a2,27015.878509340673,27015.878509340673,113.466689739228,104.0
2023-01-20,27428.04070729,0xae24f991adf4910796c9f9eb74914504e8e3ad7f,27428.040707295786,27428.040707295786,74.055709909683,105.0
2023-01-13,28763.91581885,0xeebc454a8256e523d672d9e87d2144e3750b0dd3,28763.91581885387,28567.162997469874,117.932054857285,80.0
2023-01-06,32626.54331546,0x8abb22210dde2e862543003b17eb3599b7f39822,32626.543315469,29445.248190933187,68.515740962466,62.5
2022-12-30,32302.94224952,0x27c7c516ef2e668a3edb20105c1a334def67d482,32302.94224952583,32302.94224952583,32.30294224952,62.5
2022-12-23,32350.15370364,0x893fadf02cb26345dfa5cdd2355aee06ec9e0faa,32350.153703648615,32350.153703648615,48.52523055546,62.5
2022-12-16,32195.54095269,0x4200c2df73707669384f9109be8b5c051941d66c,32195.54095269824,32195.54095269824,70.830190095918,67.5
2022-12-09,33793.37933413,0x420581f742ace13383b85c3fe6d57cc4ce21b9d5,33793.379334138896,33793.379334138896,104.759475935803,72.5
2022-12-02,33719.94490566,0x0053e205c30102de06edb144b41b27b08f7cc91a,33719.94490566846,33719.94490566846,134.87977962264,75.0
2022-11-25,34311.93215886,0x5ad0a07c74dc19aef5376f0b0c8ee8492f9bac32,34311.93215886418,34311.93215886418,181.853240441958,67.5
2022-11-18,33991.37410082,0xc291d051e87ea0f8b1bdbefe5bb3cf8665c06d9b,33991.37410082732,33991.37410082732,142.763771223444,72.5
2022-11-11,32548.76127164,0x629e9ffcaced462edc1023b2bcaca8ac9c82fc54,32548.76127164226,32548.76127164226,35.803637398804,90.0
2022-11-04,33881.98866301,0x11eaff7d43e69bdd9d54b94cb0451c8fb3bdeea5,33881.988663018616,33881.988663018616,237.17392064107,107.0
2022-10-28,34229.53660865,0x82eea37056c9ea79fc25f18015ae5de0135fff0e,34229.53660865426,34098.52648059725,112.957470808545,95.0
2022-10-21,36282.58646119,0x723464da235d77258de7ecc0ae68c23d3a5058e0,36282.58646119681,36282.58646119681,159.643380429236,90.0
2022-10-14,30508.26046834,0xde405f8cfb7e09a4cf75939f90548c8c204a87e1,30508.260468342276,30508.260468342276,42.711564655676,85.0
2022-10-07,29815.66947052,0x82ce9f11cddf053a20173d8fe74df0983aa93cbd,29815.669470522662,29815.669470522662,104.35484314682,90.0
2022-09-30,29889.01826104,0xfa4816aa429bafb742996e31ad677eef34d568e2,29889.018261048728,29889.018261048728,164.38960043572,90.0
2022-09-23,28023.27100383,0x5590ff287fc510eb3978d201465118334852e178,28023.27100383977,28023.27100383977,134.511700818384,90.0
2022-09-16,26802.74604424,0x631ddacc020f32e86090b7c35d172e7a2953c596,26802.746044242343,26802.746044242343,163.496750869864,95.0
2022-09-09,24652.3976345,0xe44949ea6e736a67705f27284d9e9419710ca5df,24652.39763450348,24652.39763450348,150.37962557045,115.0
2022-09-02,24220.29350312,0xef61c3589ff40f92b9d9c33182573a3b0aed541b,24220.293503122175,24220.293503122175,167.120025171528,105.0
2022-08-26,23041.69173179,0x8e650a686adb3f8ce2e6fada5f27df2e8f3c0d33,23041.691731797666,23041.691731797666,198.158548893394,110.0
2022-08-19,19698.13938407,0x791267367b3a9b9edee58d41f32821c36133ccea,19698.13938407826,19698.13938407826,104.400138735571,110.0
2022-08-12,18880.74406271,0x763bbd0433f2a250c30bf50646bc62f7248550ae,18880.744062712027,18880.744062712027,179.367068595745,135.0
2022-08-05,15564.46692511,0x448aaad75d4c7443cba61c569028fc49fcdafd9d,15564.466925111867,15564.466925111867,110.507715168281,130.0
2022-07-29,15833.45109841,0xac563d5421f929dfeb6d78be4bf704f1460ac2a5,15833.451098411002,15833.451098411002,126.66760878728,125.0
2022-07-22,15470.63564433,0x2b78a292c759db6a0d4e30a8551c7f370a3e3419,15470.635644330767,15470.635644330767,69.617860399485,125.0
2022-07-15,13178.80477708,0x68946b2c6b1035ca0aa7fafe43e9349d8cfe1a43,13178.804777086792,13178.804777086792,115.973482038304,115.0
2022-07-08,13490.60402016,0xe0aad157b905f0fcd8baaac3d6b8e8244ebda29f,13490.604020166278,12431.975808309508,141.65134221168,85.0
2022-07-01,14185.37300003,0xb8da559703bd0958f8d2210f8e2c99dc22788ded,14185.373000036343,14013.766388706767,100.716148300213,70.0
2022-06-24,13719.68216253,0xe1d7c6f5300ff4d35a7946eda562e04f13362047,13719.682162537585,13719.682162537585,80.946124758927,90.0
2022-06-17,13653.51588007,0xa63e3b2276434700530c35e1b760116f53628e23,13653.515880079813,13653.515880079813,61.440821460315,80.0
2022-06-10,14360.46552148,0x8f4a18c9d153359cce07d4d56519e9fb16438021,14360.465521480757,14360.465521480757,81.854653472436,115.0
2022-06-03,18044.52493937,0xb778253ecd567a5aef0eff9ef483157357e21770,18044.524939375515,18044.524939375515,55.0358010650785,130.0
2022-05-27,16326.39612941,0xacfc38525c89af11d4d51bb4cd53af65b423d51c,16326.396129415894,16326.396129415894,48.979198619956364,130.0
2022-05-20,8404.46078201,0x43b044d31944d8c7e90d48923f03b523105e18e6,8404.460782014945,8404.460782014945,26.26394508318822,125.0
2022-05-13,7597.75966156,0xd346f63acba53d9885fc8b374fb14f09c4466900,7597.759661561536,7597.759661561536,15.271497623200652,115.0
2022-05-06,8185.29578992,0x01f14604ded60e4a9dc1ccd5d9c200ed2db3c7ca,8185.295789922614,8185.295789922614,17.18912152378274,175.0
2022-04-29,7729.79550571,0xa257a0cafa04e50ff6b0f263f33576296fca280f,7729.795505715213,7729.795505715213,25.508329155891506,195.0
2022-04-22,5252.94745367,0x9d1250e009eb8e24e9b1ddd60014e57252cba496,5252.947453670214,5252.947453670214,13.657663379542004,220.0
