openedAt,mintAmount,option,depositAmount,withdrawAmount,premiumEarned,strikePrice
2023-10-06,2287.95583086,0xb69b3e003876305e4e0ab87b08cbb848102c79d9,2287.9558308602814,0.0,3.43193374629,17.5
2023-09-29,2285.62742362,0x2057d07bec9f3121e5d2a1732a8b7f8420042d88,2285.6274236232316,2285.6274236232316,4.114129362516,18.0
2023-09-22,2287.06067239,0x48c991e62e23a91d37a5b184dc78a3540d77d140,2287.060672390078,2287.060672390078,2.973178874107,17.0
2023-09-15,2289.97174567,0x9d80f89041ee9a8316f4e854703aa4c39e6c57ea,2289.97174567632,2289.97174567632,4.57994349134,17.5
2023-09-08,2298.7839017,0x942c1c3550c0326704553841e06ffadea873ddff,2298.7839017082683,2298.7839017082683,3.33319746238,17.5
2023-09-01,2298.37750061,0xd0bdac98796f21d6f9d8ca0f786d069a3f6568ef,2298.3775006135966,2298.3775006135966,4.137079501098,17.5
2023-08-25,2379.38377707,0xe1903c68144257372f46131c8f992ea20085c4eb,2379.3837770717805,2379.3837770717805,4.520829176433,18.0
2023-08-18,2555.72958926,0x6bb29d5c5a8912aab4c36dd4b48fb1c2174f250b,2555.729589262117,2555.729589262117,4.600313260668,18.5
2023-08-11,2553.04751093,0xe7bc19a5ac763c1d33fe32f4bd4a5e392fe073f3,2553.0475109342715,2553.0475109342715,6.637923528418,19.5
2023-08-04,2557.42494616,0x72e182cb5acf83a7db9bf8e3ca30adf9c0b9952e,2557.424946167053,2557.424946167053,5.754277376168,19.5
2023-07-28,2561.73564121,0x177150cc051552aac5f51a1d3ae9fcd619034d84,2561.73564121705,2561.73564121705,4.611124154178,20.0
2023-07-21,2566.84220232,0x5678c9814bec373b0b26b83c50cfe0352903f7ad,2566.8422023236576,2566.8422023236576,6.4171055058,20.5
2023-07-14,2594.31043457,0x5b2fc91b65ab5fed09b40c622dc5afade1866baf,2594.3104345777165,2594.3104345777165,9.080086520995,22.0
2023-07-07,2646.82370727,0x31053b7f98b2298dc0c49463c2e0f086e668af8d,2646.8237072795623,2646.8237072795623,5.29364741454,20.5
2023-06-30,2666.79752367,0x7d9f93ff29fffb645acd15cbc9789a4031a1a4fe,2666.797523673769,2666.797523673769,5.066915294973,21.0
2023-06-23,2705.10637991,0x660d9156e3323363ed4b6865d76eb87aef70f023,2705.1063799156705,2705.1063799156705,9.062051053703,21.0
2023-06-16,2859.06795103,0x1735d3c19dfa7834a40d1cd5ae837bcf93fa4379,2859.0679510319915,2735.402810177197,7.147669877575,18.0
2023-06-09,2933.38157306,0x78168963f369bbf2b6d91a25d159d3289831fa0d,2933.381573062797,2933.381573062797,5.280086831508,20.0
2023-06-02,2938.44637156,0x815ee9bc1bd125a711e5edd730ab87e689a883e9,2938.4463715667207,2938.4463715667207,4.701514194496,20.5
2023-05-26,2917.25703748,0x26152a4930dcea4ee1c6279a605688ff5afbc78f,2917.2570374813267,2917.2570374813267,6.709691186204,19.5
2023-05-19,2901.40627971,0x46920d3363d0692d665348a215d9e14ac5593619,2901.4062797119805,2901.4062797119805,8.994359467101,19.5
2023-05-12,2888.62295614,0xcc349da4bf0826e797cda071ed9dc7740b838c5e,2888.622956147525,2888.622956147525,7.22155739035,19.5
2023-05-05,3497.31270652,0x4cb1054f76db147915c9970b81efab291e8682ca,3497.3127065247077,3497.3127065247077,9.442744307604,21.0
2023-04-28,3620.11364915,0xa71b80f93aea2524d74a652205f1feefa17b1c45,3620.1136491582706,3620.1136491582706,8.50727275796,21.5
2023-04-21,3673.76507381,0x075f97a5cd6f88d1962cbcf3c0712f0a487c86c2,3673.7650738182633,3673.7650738182633,12.490801250954,21.5
2023-04-14,3670.77796285,0x78065f619a8cb2c6e8bbd33a414f171b1b9b3cb3,3670.777962856662,3670.777962856662,13.214878462545,24.5
2023-04-07,3870.95677302,0x7ac5a8dacf93baf19df5ad9d3be9d83457378e36,3870.956773028274,3855.5756215943275,12.967753028268,21.0
2023-03-31,3862.50625603,0x3ac8dc5f746491a9042754b81f50925e5cb78a06,3862.506256031179,3862.506256031179,10.815017516884,20.5
2023-03-24,3876.46695253,0x63ff831b8dec0572dd0d4af561703bb5d30f03ea,3876.4669525370077,3876.4669525370077,16.087361200626,20.5
2023-03-17,4246.47344308,0xb392ba17dc6b898c129a57bd6ee0209284c76708,4246.473443089848,4246.473443089848,15.287399083704,20.5
2023-03-10,5057.87180255,0x1fe0d982999fcaa71c937d5c7326656085c69d93,5057.871802552087,4553.98565811459,14.162228227395,15.5
2023-03-03,4939.02113941,0x657f712b4aaccbd782e83cc29dbf9270f70f6db5,4939.021139411412,4939.021139411412,12.347552848466,17.5
2023-02-24,4918.39327987,0xe0492b1ca62c25cf7aedd26fcf03d848797dbfed,4918.393279873838,4918.393279873838,12.541922527662,18.5
2023-02-17,4887.14449791,0x3298f5a72ac4a3b71158758461843f058e1a0ec1,4887.144497913605,4887.144497913605,11.729146794984,19.0
2023-02-10,5114.38485486,0x38f05ed0b82152478aba2a1c3f9e31a0c511c1a2,5114.384854860003,5114.384854860003,16.621770021038,17.5
2023-02-03,5110.69611163,0x9376749d971a6f981cb7277c4e09553d37b7ed78,5110.696111632406,5110.696111632406,13.543344695838,19.0
2023-01-27,5131.12740343,0x61c51f4358d143f0e02a77928f68ed3fda6d4eab,5131.12740343948,5131.12740343948,14.880269469947,18.0
2023-01-20,5227.53469377,0x0cd99535d016ef4e1c7d07fc6e2906b177eb07db,5227.53469377524,5227.53469377524,16.728111020064,17.25
2023-01-13,5605.77950518,0x95561b74153f41b983f3bca52ba06adf79fbbdaf,5605.779505189304,5605.779505189304,16.81733851554,16.0
2023-01-06,6043.68824552,0x7967306fd3f0ce8e1d62e25591cd5931cd7f4f56,6043.688245526115,5900.782033372585,12.08737649104,13.75
2022-12-30,6064.06832348,0x173b29ceae95053dee6c9bab18d990eb840180aa,6064.068323480074,6064.068323480074,16.372984473396,13.0
2022-12-23,6094.0190519,0x5efd32b23cda5c7db644f213dd89155ec589b8da,6094.019051901172,6094.019051901172,15.84444953494,13.5
2022-12-16,5815.54358034,0x2d937d53cc73d92e43a61e78ca52d03b05c3ce6e,5815.543580340113,5815.543580340113,15.120413308884,14.0
2022-12-09,5783.03835991,0xcfe56ff12f540fd2de8c50e7096a10c18502b06b,5783.038359918458,5783.038359918458,18.794926587703,14.5
2022-12-02,5396.84057814,0x045ee3018ce2abe40382134d9639578efe823189,5396.840578143662,5396.840578143662,17.539773907862,14.5
2022-11-25,5718.02699766,0x559949d765d3b1f5afe4904e9fc8cd543047bf4b,5718.026997666538,5718.026997666538,19.155391792044,13.5
2022-11-18,5809.44480175,0xa649e5c1458c9ce6acd7652b5f0d345a67ab639c,5809.444801756989,5809.444801756989,23.528323687175,14.0
2022-11-11,6217.49456445,0x2edec99902f9f477cc5a79f40852ac7e9d60b4df,6217.494564455356,6217.494564455356,25.180927714245,15.5
2022-11-04,9918.76352908,0x025d0c4417946f316597ce674fb90bd2106b1cf9,9918.763529084641,9918.763529084641,39.675283175044,18.5
