date,totalBalance
2023-10-06,2717.024838096721
2023-09-29,2715.370948358869
2023-09-22,2719.351892547953
2023-09-15,2718.9969250497634
2023-09-08,2725.4086934437414
2023-09-01,2727.9559518809647
2023-08-25,2733.271237415853
2023-08-18,2908.3905079300735
2023-08-11,2906.9658316070977
2023-08-04,2919.06444663173
2023-07-28,2930.0043638484844
2023-07-21,2953.605612101077
2023-07-14,3005.2142895335323
2023-07-07,3004.7225975390647
2023-06-30,3011.924080908847
2023-06-23,3121.294569052604
2023-06-16,3710.1635382253758
2023-06-09,3745.0196214065672
2023-06-02,3752.7811495533874
2023-05-26,3716.8865779874263
2023-05-19,3701.7648220278525
2023-05-12,4156.020990578888
2023-05-05,4428.5806384512825
2023-04-28,4426.275099051839
2023-04-21,4450.171088271592
2023-04-14,4440.260958734687
2023-04-07,4610.821967870394
2023-03-31,4749.932864848892
2023-03-24,4801.207689711142
2023-03-17,5011.162408784299
2023-03-10,5826.9050455186
2023-03-03,5672.221689593769
2023-02-24,5665.224462755783
2023-02-17,5770.198662404872
2023-02-10,5864.066021132386
2023-02-03,5946.729532230733
2023-01-27,5957.530076017947
2023-01-20,6123.986248797472
2023-01-13,6449.412164201702
2023-01-06,6764.0686521557545
2022-12-30,6786.067451271341
2022-12-23,6804.249392932239
2022-12-16,6823.328090128797
2022-12-09,6500.039138873244
2022-12-02,6213.066422094553
2022-11-25,6607.833547862011
2022-11-18,6554.332878600101
2022-11-11,6972.016527348657
2022-11-04,10650.028851078452
2022-10-28,10663.015204531806
2022-10-21,10118.761821259986
2022-10-14,11157.701979246276
2022-10-07,10829.046647454856
2022-09-30,10715.798893446567
2022-09-23,10954.90158162352
2022-09-16,8644.075291306573
2022-09-09,7570.85656433494
2022-09-02,10664.556988404775
2022-08-26,11058.814001628387
2022-08-19,10910.981464495166
2022-08-12,11162.392500791271
2022-08-05,10725.294045385652
2022-07-29,10975.852514385266
2022-07-22,13903.8144492698
2022-07-15,12418.479697334256
2022-07-08,12383.358440216425
2022-07-01,11012.651365560501
2022-06-24,21340.115929679843
2022-06-17,21924.55708788372
2022-06-10,21073.238557677032
2022-06-03,21870.657996957503
2022-05-27,14448.972885453224
2022-05-20,26723.836671226152
2022-05-13,26729.54825788111
2022-05-06,26280.974053013073
2022-04-29,25348.71217900657
2022-04-22,24765.54323717737
2022-04-15,25350.910249856563
2022-04-08,26564.553328408365
2022-04-01,25424.059983897096
2022-03-25,24557.818357373166
2022-03-18,23616.715613934404
2022-03-11,23464.255010098866
2022-03-04,11120.03730171639
2022-02-25,11980.759668816418
2022-02-18,24466.21713646855
2022-02-11,23750.599021728183
2022-02-04,23674.675485198186
2022-01-28,21043.468287571293
2022-01-21,19765.49280476223
2022-01-14,18752.662096692136
2022-01-07,19224.706037382686
2021-12-31,19481.81966765784
2021-12-24,19764.472313186783
