openedAt,mintAmount,option,depositAmount,withdrawAmount,premiumEarned,strikePrice
2023-10-06,64.24781179,0x350a5716d9a8200e46b9cb3863725bb57217a9ed,64.24781179377239,0.0,0.077097374148,1750.0
2023-09-29,53.20539716,0x3293afebf5236d1de1c3c01c9231f691648723ca,53.205397165307915,53.205397165307915,0.07980809574,1800.0
2023-09-22,74.78485512,0xd2e8f9741aa234ffd15aa5371245c576171f36e1,74.78485512306176,74.78485512306176,0.089741826144,1700.0
2023-09-15,78.70174374,0xbb40fb803d333fbac43124df1c127e274497f827,78.70174374406048,78.70174374406048,0.165273661854,1750.0
2023-09-08,122.42295267,0x6657ae99b97c2300bb1245de5c2e0a3d75d762e7,122.42295267487256,122.42295267487256,0.195876724272,1750.0
2023-09-01,130.46802355,0x33a20583e99fff40e2d1429548f9979189d3bd20,130.46802355288332,130.46802355288332,0.195702035325,1750.0
2023-08-25,310.39297068,0x73b306731920a3cfbd2dae170a1e71116f438fc0,310.39297068188347,310.39297068188347,0.558707347224,1800.0
2023-08-18,352.77698719,0x6dc079b019cfb642c4590416353473f82fcc240a,352.77698719518827,352.77698719518827,0.634998576942,1850.0
2023-08-11,445.73770213,0xcb92206ee623a66eebbfc21e83f8bfa7533a8cd8,445.73770213689227,445.73770213689227,1.025196714899,1950.0
2023-08-04,445.20756287,0x574e094b8189c613627a2aa95767b1af85125052,445.20756287486074,445.20756287486074,0.89041512574,1950.0
2023-07-28,411.25575877,0x54d26cbf5810357ffee987ac25fec1061a1a35db,411.2557587774757,411.2557587774757,0.658009214032,2000.0
2023-07-21,349.06922902,0xb16b95464fd89efcb4ef51da7f058e9524a7a65b,349.06922902856707,349.06922902856707,0.733045380942,2050.0
2023-07-14,404.23649872,0xa2bf4f7195f3ce8fbac5bb6a5d19eb5a4b1bdd5a,404.236498724886,404.236498724886,1.172285846288,2200.0
2023-07-07,387.28497922,0x1554be11b10f10cb3497ef3df5b157370a058c89,387.2849792290901,387.2849792290901,0.77456995844,2050.0
2023-06-30,313.69114328,0xc22869d6e4d5afd2560642004b6aef9d517c28e7,313.6911432845005,313.6911432845005,0.596013172232,2100.0
2023-06-23,337.3663689,0x46bdc4b43e9fdbdf1c88966dc4ed6fc50952b45e,337.3663689043306,337.3663689043306,0.91088919603,2100.0
2023-06-16,527.98810534,0x2fea00da17c39836e78f015907c7df0597766408,527.9881053491999,506.73831941614037,1.05597621068,1800.0
