openedAt,mintAmount,option,depositAmount,withdrawAmount,premiumEarned,strikePrice
2023-10-06,2348.55480162,0x95cf3d0356a07e56c57efe17befbb15db6753472,2348.5548016267817,0.0,3.287976722268,1750.0
2023-09-29,2415.03606419,0x00c843d8d46d3c4cec38cc426240f0479340f5c8,2415.0360641919083,2415.0360641919083,4.105561309123,1800.0
2023-09-22,2415.84917433,0x23a664b316020b4785b87f54bcba590dd0706dcb,2415.849174330354,2415.849174330354,3.140603926629,1700.0
2023-09-15,2018.53855179,0xa7b0a1048488ac7b8ed04e292571d4205ce6f31d,2018.5385517960879,2018.5385517960879,4.541684813938,1750.0
2023-09-08,1994.32343665,0xa0a84ca605c8a15b13dc048260ca0517a35e3241,1994.3234366535332,1994.3234366535332,3.390349842305,1750.0
2023-09-01,2004.04779844,0x524b391a61297c24599833a95390c18c48f67a6e,2004.0477984497911,2004.0477984497911,3.406881257348,1750.0
2023-08-25,1951.92288158,0x4dbf0a1eb803701745e79b7fa97bdf62b61e099d,1951.922881588346,1951.922881588346,3.708653475002,1800.0
2023-08-18,2037.50998004,0x0d57e0ed77bba314f1d24bcaa68bc596ea6f09a2,2037.509980044179,2037.509980044179,3.667517964072,1850.0
2023-08-11,2340.64127538,0x233d689715dfe2518af752529f86c7c098c35e39,2340.6412753887826,2340.6412753887826,6.085667315988,1950.0
2023-08-04,2433.54236716,0x4c32191b955d52c5232ded3f26a8228b49c0b7ab,2433.542367166879,2433.542367166879,5.597147444468,1950.0
2023-07-28,2487.03592889,0x397ab0af9cb68dd032b1254c2018560aeb63ebf7,2487.0359288984127,2487.0359288984127,4.352364672002,2000.0
2023-07-21,2473.90418267,0x8166dbcc7b5c76909665511451aa2b774d73afb0,2473.904182673316,2473.904182673316,6.184760456675,2050.0
2023-07-14,2410.08269741,0xe6fc5fc565e80e454c2b22d13a08866ffc87ae7b,2410.082697414046,2410.082697414046,8.194281171194,2200.0
2023-07-07,2408.63547717,0x491c765c14e0e8360132dddb2f04f5bee6cd96c1,2408.6354771795613,2408.6354771795613,4.93767095434,2050.0
