date,totalBalance
2023-10-06,3321.2012019735193
2023-09-29,3365.0281227964215
2023-09-22,3363.4349021845396
2023-09-15,2906.5331767864914
2023-09-08,2879.0764623186237
2023-09-01,2888.1818231538823
2023-08-25,2995.537689164136
2023-08-18,3039.86934846536
2023-08-11,3359.742649775987
2023-08-04,3434.2261026013043
2023-07-28,3478.356531236347
2023-07-21,3490.965788298028
2023-07-14,3543.7896410855624
2023-07-07,3533.5927204560326
2023-06-30,3588.3877955860244
2023-06-23,3692.561058100758
2023-06-16,3787.0004103677297
2023-06-09,4130.716397152666
2023-06-02,4163.980733602216
2023-05-26,4548.19234751433
2023-05-19,4700.611880400057
2023-05-12,4778.621204989269
2023-05-05,4763.126379620743
2023-04-28,4805.485843604489
2023-04-21,4823.269387982437
2023-04-14,4896.91056096957
2023-04-07,5483.730300613517
2023-03-31,5505.778483498294
2023-03-24,5487.687727748656
2023-03-17,5630.6598301245085
2023-03-10,8488.869984072782
2023-03-03,8592.427361521482
2023-02-24,8256.299266273818
2023-02-17,8783.289098786607
2023-02-10,8800.218435608407
2023-02-03,8711.568677941836
2023-01-27,8686.89078191139
2023-01-20,8651.147775455805
2023-01-13,8776.071391929516
2023-01-06,8969.731651005011
2022-12-30,9444.405140935482
2022-12-23,10209.78330145423
2022-12-16,9878.298122946495
2022-12-09,10659.941719359282
2022-12-02,10719.561489128724
2022-11-25,11821.443905788437
2022-11-18,11699.930936375458
2022-11-11,12063.84334413459
2022-11-04,12290.64030897037
2022-10-28,14044.295997543544
2022-10-21,14663.498732820382
2022-10-14,14515.659468941296
2022-10-07,14339.11071706201
2022-09-30,14221.656461102257
2022-09-23,13494.373657460093
2022-09-16,13310.398899562695
2022-09-09,12363.797659259846
2022-09-02,13569.118510786973
2022-08-26,14543.669463806875
2022-08-19,14648.600723293024
2022-08-12,16116.358877464088
2022-08-05,16470.65702919126
2022-07-29,21249.85031804234
2022-07-22,25863.712240921464
2022-07-15,19912.30686994823
2022-07-08,19544.85914129673
2022-07-01,18368.8002200289
2022-06-24,21970.00687149133
2022-06-17,21043.205260725834
2022-06-10,21650.27947605869
2022-06-03,22520.83588953285
2022-05-27,21378.62173295699
2022-05-20,23684.797779366785
2022-05-13,21989.2565619456
2022-05-06,19125.240035666026
2022-04-29,18088.751526190277
2022-04-22,16179.683626670527
2022-04-15,15407.847508244293
2022-04-08,14123.67798612086
2022-04-01,12110.870194617923
2022-03-25,9199.792358992572
2022-03-18,7753.787556799385
2022-03-11,7265.34708877633
2022-03-04,7572.012649354799
2022-02-25,9052.45532321301
2022-02-18,9236.353120724769
2022-02-11,10053.71137500461
2022-02-04,9180.933675327884
2022-01-28,9930.256980019618
2022-01-21,6587.0734835981375
2022-01-14,3341.7998279826284
2022-01-07,1566.2266046438842
2021-12-31,1000.0
2021-12-24,1.0
