openedAt,mintAmount,option,depositAmount,withdrawAmount,premiumEarned,strikePrice
2023-10-06,1670.93984097,0x555000913506a4355eef6bdbbf7cbfbe76fd116e,2.506409761456e-06,0.0,5.514101475e-09,1500.0
2023-09-29,1676.19505029,0xddc391ad1457188f2b5712100333179a4e89e73b,2.598102327961e-06,2.598102327961e-06,6.872399706e-09,1550.0
2023-09-22,1727.03785616,0xb4371bd25c50f4fe3cda59fba0119a4a2bad8273,2.590556784241e-06,2.590556784241e-06,8.462485495e-09,1500.0
2023-09-15,1682.09001965,0xadcf4628c3b70e2fadc00b10b5e0c3e168de3e45,2.523135029483e-06,2.523135029483e-06,6.391942074e-09,1500.0
2023-09-08,1683.85892268,0x2bf495d5c0e7fa647e4f062771d8b3382076867f,2.525788384033e-06,2.525788384033e-06,7.408979259e-09,1500.0
2023-09-01,1637.6291659,0xe2a6c66282c0bb0d214dd8f1a1b6c0266946ca17,2.538325207146e-06,2.538325207146e-06,7.860619995e-09,1550.0
2023-08-25,1770.87389633,0x5790969d901bebaf7c6b542314a0815580e2ac4a,2.74485453932e-06,2.74485453932e-06,1.0802330766e-08,1550.0
2023-08-18,2439.22638843,0xfe79cfb26a2d0b9434d77db2df9ac2cce0303e9d,3.658839582649e-06,3.658839582649e-06,1.1220441386e-08,1500.0
2023-08-11,2161.199627,0x09b2044cd397d181b9db82b598a5c09320e91547,3.782099347265e-06,3.65204935854e-06,7.888318657e-09,1750.0
2023-08-04,2192.29593792,0xc0741c66c3c412cc046fd1d27d23b8667b3a0b2e,3.78171049292e-06,3.78171049292e-06,8.221124564e-09,1725.0
2023-07-28,2158.868382,0x966a6da154bb03d8ce1386e71eb77fa63a0cdb6e,3.778019668509e-06,3.778019668509e-06,7.987813013e-09,1750.0
2023-07-21,2156.75017167,0xaf4bd558d7df122e223eaf37febc50275f6e28dd,3.774312800426e-06,3.774312800426e-06,9.705300755e-09,1750.0
2023-07-14,2138.8425585,0x8d19976b50bd92ab044849cdf1b51e58527caf7c,3.849916605308e-06,3.849916605308e-06,9.410907256e-09,1800.0
2023-07-07,2269.6811108,0x7f5392459a05e615d91f084225d99c5388ca17d7,3.858457888365e-06,3.858457888365e-06,9.078724443e-09,1700.0
2023-06-30,2230.71880466,0x3622aca21f80cd4ad31f678e15a8dac289ce7330,3.84798993805e-06,3.84798993805e-06,1.0595878381e-08,1725.0
2023-06-23,2256.16309389,0x9b74ffc71bf1668d4e65f8800ce8a3079f363165,3.835477259629e-06,3.835477259629e-06,1.0603966541e-08,1700.0
2023-06-16,2570.98350355,0x5c463675da693537ce36f6a2d791789de3cff0a9,3.856475255337e-06,3.856475255337e-06,1.2726417517e-08,1500.0
2023-06-09,2327.97263159,0x7d0036ecb80545f624e90ba76f5df12cd4a1b468,3.957553473711e-06,3.885266629277e-06,1.1639863157e-08,1700.0
2023-06-02,2255.42445071,0x1848cef28e6200431a64fb5c2968b1ef7f0b8325,3.946992788758e-06,3.946992788758e-06,1.0826037363e-08,1750.0
2023-05-26,2343.59397986,0x850af66573d175f1d8100a02be30fd023fac160b,3.866930066779e-06,3.866930066779e-06,1.042899321e-08,1650.0
2023-05-19,2356.9306461,0x7b1a56db451243f2a5ae3cc7269d09fcca7cc443,3.888935566073e-06,3.888935566073e-06,1.0488341374e-08,1650.0
2023-05-12,2427.32945639,0xb7d35bbda2c46f5bd69217fba25a5c9203967b40,3.883727130233e-06,3.883727130233e-06,1.5292175575e-08,1600.0
2023-05-05,2745.2647289,0x8b43485e2ee04f0e11241a9f37cc188662fd35eb,4.666950039133e-06,4.666950039133e-06,1.1255711861e-08,1700.0
2023-04-28,2740.09875519,0xeee6f476983c59e691abd40753a19a94c2f19efe,4.658167883838e-06,4.658167883838e-06,1.3426474024e-08,1700.0
