openedAt,mintAmount,option,depositAmount,withdrawAmount,premiumEarned,strikePrice
2023-10-06,37.0267709,0x1bbc204c3b6200004ff5aa78a170d32aa705f1ba,3.70267709e-09,0.0,6.701845e-12,29500.0
2023-09-29,37.00240274,0xfc35980649339854957f22935284de2a347cd302,3.700240274e-09,3.700240274e-09,5.180336e-12,29000.0
2023-09-22,37.30360805,0xa862bf5f3c95e0e756632a2398fb394073480700,3.730360805e-09,3.730360805e-09,8.579829e-12,28000.0
2023-09-15,37.26070567,0x9c85c7beb4d499a78ebc95d30f931d2638e8d3bf,3.726070567e-09,3.726070567e-09,7.265837e-12,28500.0
2023-09-08,40.50351504,0xbe96163d0667f9035c9b3daedf83fcd100115abe,4.050351504e-09,4.050351504e-09,6.885597e-12,28000.0
2023-09-01,40.90545498,0xd2a3b81e84c082dec87906483fd998b23642dbfe,4.090545498e-09,4.090545498e-09,8.671956e-12,27500.0
2023-08-25,43.00771385,0x2e3f5a3c2c74b74471223bd718e0bf0bcc1abb1f,4.300771385e-09,4.300771385e-09,1.3461414e-11,28000.0
2023-08-18,42.91944358,0xa4902d05db9b3697b282c2240d3ab3f6f1b1763f,4.291944358e-09,4.291944358e-09,1.3305027e-11,29000.0
2023-08-11,45.17719954,0x246eeb41cfe53aeb6fb21f271e76f054e5858623,4.517719954e-09,4.517719954e-09,9.125794e-12,31500.0
2023-08-04,46.37571599,0x784fd0072527773915a65f3c46dc92b477b7a72e,4.637571599e-09,4.637571599e-09,1.0666414e-11,31000.0
2023-07-28,50.42127797,0x9e632175020b448db68d466356afc167384f24ec,5.042127797e-09,5.042127797e-09,1.1596893e-11,31250.0
2023-07-21,50.56662554,0xb030ce7dc2234880c63938a066fad5711421aabb,5.056662554e-09,5.056662554e-09,1.1124657e-11,32500.0
2023-07-14,50.67056364,0x864413591a44633447a6b18b0d47c0dfbe9069b2,5.067056364e-09,5.067056364e-09,1.444111e-11,34000.0
2023-07-07,50.69330003,0x98c58e64cc576bbf03bfdcc1bb0de7c09c2addb8,5.069330003e-09,5.069330003e-09,1.520799e-11,33000.0
2023-06-30,51.15830399,0xc36adb0cc7cfa222f35f33e2d1c928c438b440dd,5.115830399e-09,5.115830399e-09,1.688224e-11,34000.0
2023-06-23,55.12152472,0xdc439b457f90c103bcc89484ccffb0a7628e4289,5.512152472e-09,5.512152472e-09,1.4882811e-11,34000.0
2023-06-16,59.98689121,0xb78c855bc585d7921f252706f4d3a03abb5cc242,5.998689121e-09,5.509852521e-09,1.3197116e-11,27500.0
2023-06-09,67.24570563,0xee3c939ff612bcd46ca22edfc8b5b902d69bfc75,6.724570563e-09,6.724570563e-09,1.2776684e-11,29000.0
2023-06-02,67.94377081,0x38671a962dfd1d39fdabb44dcb409353ac3b02ea,6.794377081e-09,6.794377081e-09,1.4947629e-11,29000.0
2023-05-26,70.55603899,0xb015252d6cc32a3c560336e6a342e0c3af173a1e,7.055603899e-09,7.055603899e-09,1.5522328e-11,28500.0
2023-05-19,63.24822533,0x97aa4f29ec9e08067d1ba17f97ca35bb1a5350c6,6.324822533e-09,6.324822533e-09,1.9733446e-11,29000.0
2023-05-12,63.40001732,0xa96c448160b6e0966a1170006080b6c7859ff5a9,6.340001732e-09,6.340001732e-09,1.9020005e-11,29000.0
2023-05-05,75.4868775,0x8a11fd92867aad0ee1457f24d7be0a9c7f4315f4,7.54868775e-09,7.54868775e-09,1.6607113e-11,32500.0
2023-04-28,75.97929561,0xf2b285233d6efbef9fc47392aa580d95766c5faa,7.597929561e-09,7.597929561e-09,2.2793788e-11,32500.0
2023-04-21,76.38824357,0xd167de72b979d595f3e61f44658f2348300d2ac1,7.638824357e-09,7.638824357e-09,1.909706e-11,31000.0
2023-04-14,75.72653968,0x77ccd72de3ba3b0c65a0bf6719d2c9fa885b130f,7.572653968e-09,7.572653968e-09,2.4232492e-11,34500.0
2023-04-07,83.81913582,0xc3621c9a3aa8330417ecf8124aa6725896460e09,8.381913582e-09,8.381913582e-09,2.1876794e-11,31500.0
2023-03-31,83.00558407,0x090e79431b3a52246721941cc7eb6b9c4054ad7d,8.300558407e-09,8.300558407e-09,3.0712066e-11,31500.0
2023-03-24,83.45012577,0x0d40277bd8c77c15f2a5f869685a0695437ec58f,8.345012577e-09,8.345012577e-09,3.5049052e-11,32000.0
2023-03-17,142.29934404,0x856e53540854995b8ab0158240ede3af69b3298a,1.4229934404e-08,1.4229934404e-08,6.9726678e-11,31000.0
2023-03-10,176.37902227,0x18b5aba662d18a9dca8fdee28e337e39b539b83c,1.7637902227e-08,1.483711422e-08,4.9386126e-11,22000.0
2023-03-03,175.03347929,0xa09833165f53ed50be1b8cac8d18ac49a7901e04,1.7503347929e-08,1.7503347929e-08,4.9009374e-11,24500.0
2023-02-24,173.28857353,0xf43d3a2bb03f5297dca90f519517c007be4dae74,1.7328857353e-08,1.7328857353e-08,4.85208e-11,26500.0
2023-02-17,170.05433455,0xd7d3f45ddd2c4ac2401cc63715e280b526ced5ef,1.7005433455e-08,1.7005433455e-08,4.4214126e-11,27000.0
2023-02-10,186.22779625,0xf94e0f470c1a6756f54115ec198f3d642a373b1c,1.8622779625e-08,1.8622779625e-08,5.2143782e-11,24000.0
2023-02-03,185.9696037,0x47a12a856e94abdec1c1dc62a2a7fa6e65a221f7,1.859696037e-08,1.859696037e-08,5.2257458e-11,26500.0
2023-01-27,189.2849502,0x912b1dc43c9fa3a300a2bba3c15f0f5cc520035d,1.892849502e-08,1.892849502e-08,6.8142582e-11,26500.0
2023-01-20,193.08508089,0xb28421a860841d39ae4d468574dad47b8bd014bc,1.9308508089e-08,1.9239288475e-08,6.9510629e-11,23000.0
2023-01-13,254.80421796,0x3570f85939b152edf6a79fb22eaed7ef6a829810,2.5480421796e-08,2.5480421796e-08,5.860497e-11,21000.0
